"1";"ABS";"Returns the absolute value of X.";"55";"ABS.html";"15519"
"2";"ACOS";"Returns the arc-cosine of X.";"65";"ACOS.html";"10159"
"3";"ADAPT_HIST_EQUAL";"Performs adaptive histogram equalization";"29";"ADAPT_HIST_EQUAL.html";"6008"
"4";"ALOG";"Returns the natural logarithm of X.";"65";"ALOG.html";"12804"
"5";"ALOG10";"Returns the logarithm to the base 10 of X.";"65";"ALOG10.html";"10470"
"6";"AMOEBA";"Minimizes a function using downhill simplex method.";"58";"AMOEBA.html";"10217"
"7";"ANNOTATE Procedure";"Starts IDL widget used to interactively annotate images and plots with text and drawings.";"22";"ANNOTATE.html";"7119"
"8";"APP_USER_DIR";"Provides access to the application user directory.";"35";"APP_USER_DIR.html";"5326"
"9";"APP_USER_DIR_QUERY";"Locates existing application user directories.";"35";"APP_USER_DIR_QUERY.html";"5246"
"10";"ARG_PRESENT";"Returns TRUE if the value of the specified variable can be passed back to the caller.";"76";"ARG_PRESENT.html";"6452"
"11";"ARRAY_EQUAL";"Provides fast test for data equality in cases where the positions of the differing data elements is not required.";"17";"ARRAY_EQUAL.html";"13089"
"12";"ARRAY_INDICES";"Converts one-dimensional subscripts of an array into corresponding multi-dimensional subscripts.";"17";"ARRAY_INDICES.html";"34435"
"13";"ARROW";"Draws an arrow as an annotation to an existing graphic.";"27";"ARROW.html";"11068"
"14";"ARROW Procedure";"Draws line with an arrow head.";"22";"ARROW_Procedure.html";"11996"
"15";"ASCII_TEMPLATE";"Presents a GUI that generates a template defining an ASCII file format.";"39";"ASCII_TEMPLATE.html";"18536"
"16";"ASIN";"Returns the arc-sine of X.";"65";"ASIN.html";"6984"
"17";"ASSOC";"Associates an array structure with a file.";"40";"ASSOC.html";"28234"
"18";"ATAN";"Returns the arc-tangent of X.";"65";"ATAN.html";"20989"
"19";"AXIS";"Adds an axis to an existing graphic.";"27";"AXIS.html";"81397"
"20";"AXIS Procedure";"Draws an axis of the specified type and scale at a given position.";"22";"AXIS_Procedure.html";"45690"
"21";"A_CORRELATE";"Computes autocorrelation.";"8";"A_CORRELATE.html";"9853"
"22";"A Routines";;"1";"A_list.html";"3605"
"23";"BANDPASS_FILTER";"Applies a bandpass filter to a one-channel image.";"29";"BANDPASS_FILTER.html";"7432"
"24";"BANDREJECT_FILTER";"Applies a band reject filter on a one-channel image.";"29";"BANDREJECT_FILTER.html";"6191"
"25";"BARPLOT";"Plots data as a series of rectangular bars.";"27";"BARPLOT.html";"21199"
"26";"BAR_PLOT Procedure";"Creates a bar graph.";"22";"BAR_PLOT_Procedure.html";"8018"
"27";"BEGIN...END";"Defines a block of statements.";"83";"BEGIN___END.html";"58508"
"28";"BESELI";"Returns the I Bessel function of order N for X.";"61";"BESELI.html";"5895"
"29";"BESELJ";"Returns the J Bessel function of order N for X.";"61";"BESELJ.html";"5395"
"30";"BESELK";"Returns the K Bessel function of order N for X.";"61";"BESELK.html";"3698"
"31";"BESELY";"Returns the Y Bessel function of order N for X.";"61";"BESELY.html";"13277"
"32";"BETA";"Returns the value of the beta function.";"61";"BETA.html";"4411"
"33";"BILINEAR";"Computes array using bilinear interpolation.";"50";"BILINEAR.html";"11625"
"34";"BINARY_TEMPLATE";"Presents a GUI for interactively generating a template structure for use with READ_BINARY.";"39";"BINARY_TEMPLATE.html";"6463"
"35";"BINDGEN";"Returns byte array with each element set to its subscript.VOIGT";"10";"BINDGEN.html";"6775"
"36";"BINOMIAL";"Computes binomial distribution function.";"59";"BINOMIAL.html";"5157"
"37";"BIN_DATE";"Converts ASCII date/time string to binary string.";"19";"BIN_DATE.html";"6972"
"38";"BIT_FFS";"Returns the index of the first bit set (non-zero) in an integer.";"76";"BIT_FFS.html";"3387"
"39";"BIT_POPULATION";"Returns the number of set (non-zero) bits in an integer.";"76";"BIT_POPULATION.html";"2759"
"40";"BLAS_AXPY";"Updates existing array by adding a multiple of another array.";"17";"BLAS_AXPY.html";"5712"
"41";"BLK_CON";"Convolves input signal with impulse-response sequence.";"8";"BLK_CON.html";"4462"
"42";"BOX_CURSOR Procedure";"Emulates operation of a variable-sized box cursor.";"22";"BOX_CURSOR_Procedure.html";"5433"
"43";"BREAK";"Exits from a loop (FOR, WHILE, REPEAT), CASE, or SWITCH statement.";"83";"BREAK.html";"16925"
"44";"BREAKPOINT";"Sets and clears breakpoints for debugging.";"76";"BREAKPOINT.html";"9366"
"45";"BROYDEN";"Solves nonlinear equations using Broyden's method.";"57";"BROYDEN.html";"6839"
"46";"BUTTERWORTH";"Returns the absolute value of the low-pass Butterworth kernel.";"8";"BUTTERWORTH.html";"6624"
"47";"BYTARR";"Creates a byte vector or array.";"10";"BYTARR.html";"10092"
"48";"BYTE";"Converts argument to byte type.";"89";"BYTE.html";"35901"
"49";"BYTEORDER";"Converts between host and network byte ordering.";"76";"BYTEORDER.html";"14560"
"50";"BYTSCL";"Scales all values of an array into range of bytes.";"29";"BYTSCL.html";"15073"
"51";"B Routines";;"1";"B_list.html";"2819"
"52";"CALDAT";"Converts Julian date to month, day, year.";"19";"CALDAT.html";"21153"
"53";"CALENDAR Procedure";"Displays a calendar for a month or an entire year.";"19";"CALENDAR_Procedure.html";"3976"
"54";"CALL_EXTERNAL";"Calls a function in an external sharable object and returns a scalar value.";"25";"CALL_EXTERNAL.html";"10797"
"55";"CALL_FUNCTION";"Calls an IDL function.";"76";"CALL_FUNCTION.html";"9771"
"56";"CALL_METHOD";"Calls an IDL object method.";"76";"CALL_METHOD.html";"5316"
"57";"CALL_PROCEDURE";"Calls an IDL procedure.";"76";"CALL_PROCEDURE.html";"6555"
"58";"CANNY";"Implements the Canny edge-detection algorithm.";"8";"CANNY.html";"6780"
"59";"CASE";"Selects one statement for execution, depending on the value of an expression.";"83";"CASE.html";"28681"
"60";"CATCH";"Intercepts and processes error messages, and continues program execution.";"23";"CATCH.html";"14552"
"61";"CD";"Sets and/or changes the current working directory.";"74";"CD.html";"18284"
"62";"CDF Overview";;"1";"CDF_Overview.html";"10138"
"63";"CDF_ATTCREATE";"Creates a new attribute in the specified Common Data Format file.";"100";"CDF_ATTCREATE.html";"2434"
"64";"CDF_ATTDELETE";"Deletes an attribute from the specified CDF file.";"100";"CDF_ATTDELETE.html";"2189"
"65";"CDF_ATTEXISTS";"Determines whether a given attribute exists in the specified CDF file.";"100";"CDF_ATTEXISTS.html";"2509"
"66";"CDF_ATTGET";"Reads an attribute entry from a CDF file.";"100";"CDF_ATTGET.html";"3326"
"67";"CDF_ATTGET_ENTRY";"Reads a variable attribute entry from a CDF file.";"100";"CDF_ATTGET_ENTRY.html";"2343"
"68";"CDF_ATTINQ";"Obtains information about a specified attribute in a CDF file.";"100";"CDF_ATTINQ.html";"2849"
"69";"CDF_ATTNUM";"Returns the attribute number associated with a particular attribute in a CDF file.";"100";"CDF_ATTNUM.html";"2335"
"70";"CDF_ATTPUT";"Writes an attribute entry to a Common Data Format file, or attaches an attribute to a CDF variable.";"100";"CDF_ATTPUT.html";"5602"
"71";"CDF_ATTRENAME";"Used to rename an existing attribute in a CDF file.";"100";"CDF_ATTRENAME.html";"2393"
"72";"CDF_CLOSE";"Closes the specified CDF file.";"100";"CDF_CLOSE.html";"3142"
"73";"CDF_COMPRESSION";"Sets or returns the compression mode for a CDF file and/or variables.";"100";"CDF_COMPRESSION.html";"2970"
"74";"CDF_CONTROL";"Obtains or sets information for a Common Data Format file, its variables, and its attributes.";"100";"CDF_CONTROL.html";"4155"
"75";"CDF_CREATE";"Creates a new CDF file with the given filename and dimensions.";"100";"CDF_CREATE.html";"3782"
"76";"CDF_DELETE";"Deletes the specified CDF file.";"100";"CDF_DELETE.html";"2417"
"77";"CDF_DOC";"Retrieves general documentation information about a CDF file.";"100";"CDF_DOC.html";"2601"
"78";"CDF_ENCODE_EPOCH";"Encodes a CDF_EPOCH variable into a string.";"100";"CDF_ENCODE_EPOCH.html";"2797"
"79";"CDF_ENCODE_EPOCH16";"Encodes a CDF_EPOCH16 value into the standard date and time character string.";"100";"CDF_ENCODE_EPOCH16.html";"2469"
"80";"CDF_EPOCH";"Computes or breaks down CDF_EPOCH values in a CDF file.";"100";"CDF_EPOCH.html";"4649"
"81";"CDF_EPOCH16";"Computes or breaks down a CDF_EPOCH16 value in a CDF file.";"100";"CDF_EPOCH16.html";"5963"
"82";"CDF_EPOCH_COMPARE";"Compares two epoch (date and time) values.";"100";"CDF_EPOCH_COMPARE.html";"2754"
"83";"CDF_EPOCH_DIFF";"Compares two epoch (date and time) values and returns the difference in milliseconds (default) or microseconds.";"100";"CDF_EPOCH_DIFF.html";"3846"
"84";"CDF_ERROR";"Returns a a short explanation of a given status code returned from a Common Data Format file.";"100";"CDF_ERROR.html";"2373"
"85";"CDF_EXISTS";"Returns true if the CDF scientific data format library is supported on the current IDL platform.";"100";"CDF_EXISTS.html";"2516"
"86";"CDF_INQUIRE";"Returns global information about the CDF file.";"100";"CDF_INQUIRE.html";"3586"
"87";"CDF_LIB_INFO";"Returns information about the CDF Library being used by this version of IDL.";"100";"CDF_LIB_INFO.html";"2403"
"88";"CDF_OPEN";"Opens an existing Common Data Format file.";"100";"CDF_OPEN.html";"4783"
"89";"CDF_PARSE_EPOCH";"Parses a properly-formatted input string into a double-precision value properly formatted for use as a CDF_EPOCH variable.";"100";"CDF_PARSE_EPOCH.html";"2518"
"90";"CDF_PARSE_EPOCH16";"Parses a properly-formatted input string into a double-complex value properly formatted for use as a CDF_EPOCH16 variable.";"100";"CDF_PARSE_EPOCH16.html";"2388"
"91";"CDF_SET_CDF27_BACKWARD_COMPATIBLE";"Allows users of IDL version 6.3 and later to create a CDF file that can be read by IDL 6.2 or earlier, or by CDF version 2.7.2 or earlier.";"100";"CDF_SET_CDF27_BACKWARD_C.html";"2443"
"92";"CDF_SET_MD5CHECKSUM";"Calculates and inserts a MD5 checksum into a CDF file.";"100";"CDF_SET_MD5CHECKSUM.html";"2793"
"93";"CDF_SET_VALIDATE";"Ensures that file data values are validated when CDF files are opened.";"100";"CDF_SET_VALIDATE.html";"2514"
"94";"CDF_VARCREATE";"Creates a new variable in a CDF file.";"100";"CDF_VARCREATE.html";"3203"
"95";"CDF_VARDELETE";"Deletes a variable from a SINGLE_FILE CDF file.";"100";"CDF_VARDELETE.html";"2613"
"96";"CDF_VARGET";"Reads multiple values from a CDF file variable.";"100";"CDF_VARGET.html";"4129"
"97";"CDF_VARGET1";"Reads one value from a CDF file variable.";"100";"CDF_VARGET1.html";"2407"
"98";"CDF_VARINQ";"Returns a structure containing information about the specified variable in a CDF file.";"100";"CDF_VARINQ.html";"3364"
"99";"CDF_VARNUM";"Returns the variable number associated with a given variable name in a CDF file.";"100";"CDF_VARNUM.html";"2445"
"100";"CDF_VARPUT";"Writes a value to a variable in a CDF file.";"100";"CDF_VARPUT.html";"2865"
"101";"CDF_VARRENAME";"Renames an existing variable in a CDF file.";"100";"CDF_VARRENAME.html";"2144"
"102";"CDF Routines";"Common Data Format routines.";"100";"CDF_Routines.html";"3509"
"103";"CEIL";"Returns the closest integer greater than or equal to X.";"55";"CEIL.html";"11887"
"104";"CHEBYSHEV";"Returns the forward or reverse Chebyshev polynomial expansion.";"8";"CHEBYSHEV.html";"4634"
"105";"CHECK_MATH";"Returns and clears accumulated math error status.";"54";"CHECK_MATH.html";"21659"
"106";"CHISQR_CVF";"Computes cutoff value in a Chi-square distribution.";"59";"CHISQR_CVF.html";"5960"
"107";"CHISQR_PDF";"Computes Chi-square distribution function.";"59";"CHISQR_PDF.html";"6810"
"108";"CHOLDC";"Constructs Cholesky decomposition of a matrix.";"53";"CHOLDC.html";"5079"
"109";"CHOLSOL";"Solves set of linear equations (use with CHOLDC).";"53";"CHOLSOL.html";"4397"
"110";"CINDGEN";"Returns a complex array with each element set to its subscript.";"10";"CINDGEN.html";"4778"
"111";"CIR_3PNT";"Returns radius and center of circle, given 3 points.";"55";"CIR_3PNT.html";"4370"
"112";"CLOSE";"Closes the specified files.";"40";"CLOSE.html";"11838"
"113";"CLUSTER";"Performs cluster analysis.";"56";"CLUSTER.html";"7278"
"114";"CLUSTER_TREE";"Computes the hierarchical clustering for a set of m items in an n-dimensional space.";"56";"CLUSTER_TREE.html";"5768"
"115";"CLUST_WTS";"Computes cluster weights of array for cluster analysis.";"56";"CLUST_WTS.html";"4593"
"116";"CMYK_CONVERT";"Converts color triples to and from RGB, HLS, and HSV.";"18";"CMYK_CONVERT.html";"43229"
"117";"COLORBAR";"Adds a colorbar annotation to an existing graphic.";"27";"COLORBAR.html";"39057"
"118";"COLORIZE_SAMPLE";"Colorizes a grayscale image by matching luminance levels with an RGB sample table. ";"18";"COLORIZE_SAMPLE.html";"2718"
"119";"COLORMAP_APPLICABLE";"Determines whether the current visual class supports the use of a colormap. (Direct Graphics)";"18";"COLORMAP_APPLICABLE.html";"3100"
"120";"COLORMAP_GRADIENT";"Maps an image into a specified luminance-based gradient.";"18";"COLORMAP_GRADIENT.html";"4023"
"121";"COLORMAP_ROTATION";"Maps pixels within a given hue range to another hue range, using the HSV hue component.";"18";"COLORMAP_ROTATION.html";"15353"
"122";"COLOR_CONVERT";"Converts colors between color spaces.";"18";"COLOR_CONVERT.html";"5720"
